v	AT1G48580
v	DTA4
v	AT2G26020
v	AT4G38340
v	ARR22
v	AT2G29220
v	CSD2
v	AT2G18590
v	AT2G39060
v	AT5G19015
v	AT1G52850
v	CYP71A12
v	CYP712A1
v	AT5G28510
v	AT3G18000
v	AT1G31690
v	AT5G54130
v	AT2G35750
v	AT2G19970
v	ATMG00060
v	E2F3
v	AT2G16630
v	AT2G27540
v	AT4G15480
v	AT3G28320
v	AT3G53400
v	IAA5
v	ATSTP2
v	AT2G20880
v	AT3G49270
v	AT2G05580
v	AT3G49580
v	AT4G24340
v	AT4G02314
v	IRT1
v	AT4G10580.b
v	ATNRT2.2
v	CBF2
v	AT1G47400
v	AT3G31970
v	AT2G29500
v	AT1G18130
v	AT3G26140
v	ORG3
v	ATCG00430
v	AT2G30600.b
v	LTP4
v	ATHSP22.0
v	CYP82C2
v	ILR1
v	CBF1
v	AT2G34390
v	AT4G22870
v	AT1G34530
v	CYP716A2
v	AT1G49800
v	ATMG00513
v	AT1G69230
v	ATMG00670
v	AT5G48850
v	AT1G03940
v	AT1G36370
v	AT2G32370
v	RTM1
v	AT5G48010
v	AT5G42600
v	AT1G61500
v	AT5G52680
v	ATGSTF12
v	ZFP4
v	AT4G39650
v	AT1G39110
v	ATMG01000
v	AT4G28380
v	ARR5
v	ELIP1
v	ATMG00900
v	AT2G21220
v	AT3G18290
v	ATNAP9
v	AT3G03910
v	ATCG00660
v	AT4G12490
v	AT2G21655
v	AT1G14230
v	AT1G22880
v	AT1G23210
v	ARR7
v	AT1G37160
v	ATCG01250
v	AT5G02760
v	AT3G03305
v	AT1G63560
v	AT2G28680
v	AT1G65890
v	ATCG00330
v	ATGSTF5
v	AT1G80320
v	AT3G12000
v	CCD7
v	DFR
v	AT1G20150
v	AT1G42375
v	ZIP4
v	AT3G28530
v	AT1G78950
v	AT4G15700
v	AT1G33130
v	AT1G63030
v	AT2G42940
v	AT4G13280
v	AT1G74760
v	AT2G04020
v	AT1G68230
v	AT1G21110
v	AT3G10040
v	ATCG00070
v	AT5G06760
v	AT3G24982
v	AMS
v	AT1G49570
v	AT5G17300
v	CSD1
v	AT1G52060
v	AT2G18550
v	PR5
v	AT3G24510
v	AT5G13205
v	AT1G74930
v	AT2G02515
v	CCS1
v	CRC
v	APP
v	AT3G12580
v	AT2G16210
v	AT4G11780
v	AT1G02050
v	AT1G70130
v	AT4G29285
v	AT2G30830
v	AT2G36190
v	AT1G03820
v	AT1G62280
v	AT4G10380
v	AT1G30795
v	AT3G07800
v	AT2G30810
v	AT5G22980
v	AT1G12180
v	AT1G03390
v	AT5G53980
v	AT1G52950
v	AT1G52690
v	AT5G48720
v	AT4G35720
v	ATCSLA15
v	AT1G29090
v	AT2G12480
v	AT1G52970
v	AT2G30670
v	AT3G03670
v	TRFL10
v	AT2G44240
v	AT3G58190
v	AT2G23910
v	AT2G37870
v	ATKT1
v	AT3G28360
v	CYP79B3
v	AT1G66850
v	AT3G48740
v	AT1G48100
v	ATCG00580
v	AT4G33070
v	AT2G27240
v	ATEXPA16
v	AT4G19800
v	ATNRT2.5
v	AT2G36650
v	AT2G21020
v	AT1G55780
v	AT1G53540
v	AT1G04770
v	MYB305
v	AT1G50060
v	AT1G23160
v	AT1G03920
v	AT1G65445
v	AT3G09600.b
v	AT1G23020
v	AT2G31320
v	AT2G15120
v	AT1G15640
v	AT4G09740
v	AT1G29430
v	AT1G75880
